source,entity_type,bank_id,record_id,name,blood_group,component,category,contact,email,address,city,state,pincode,age,quantity,units_available,event_time,updated_at,notes
REDCROSS,inventory_transaction,19,redcross-19-1-14bf2e0fab087bc341de864228f22c41,,A+,Platelets,,,,,,,,,3,4,2025-11-06 15:55:09,2025-11-06 15:55:09,OUTFLOW
REDCROSS,inventory_transaction,31,redcross-31-2-77a5df6a55ce730b8832b61e12dd5cf3,,O+,Platelets,,,,,,,,,3,3,2025-01-21 14:59:20,2025-01-21 14:59:20,OUTFLOW
REDCROSS,inventory_transaction,16,redcross-16-3-73108bec88e6c0e288156b1afe31e1ac,,B+,Packed RBC,,,,,,,,,12,18,2025-02-24 01:20:47,2025-02-24 01:20:47,OUTFLOW
REDCROSS,inventory_transaction,25,redcross-25-4-72ec8a7d7460db9becdbd898502b804f,,B+,Cryoprecipitate,,,,,,,,,1,1,2025-10-29 04:31:02,2025-10-29 04:31:02,OUTFLOW
REDCROSS,inventory_transaction,7,redcross-7-5-e4527570870486cb0348e61a8801ff7c,,AB+,Plasma,,,,,,,,,2,8,2025-04-12 00:46:09,2025-04-12 00:46:09,INFLOW
REDCROSS,inventory_transaction,31,redcross-31-6-fd2c9b7d81feab9768ac60fa61407228,,A+,Fresh Frozen Plasma,,,,,,,,,11,32,2025-12-10 12:41:05,2025-12-10 12:41:05,INFLOW
REDCROSS,inventory_transaction,25,redcross-25-7-58a9f1161e3b72c54bc5dda1acd5859e,,B-,Cryoprecipitate,,,,,,,,,3,3,2026-02-16 15:55:34,2026-02-16 15:55:34,INFLOW
REDCROSS,inventory_transaction,16,redcross-16-8-fde403c0bf005cb9165c3225b43b4cfa,,A+,Fresh Frozen Plasma,,,,,,,,,2,4,2026-02-03 02:27:06,2026-02-03 02:27:06,OUTFLOW
REDCROSS,inventory_transaction,11,redcross-11-9-83858fba6cf9a86c6ead0da358e00a4d,,A+,Whole Blood,,,,,,,,,7,30,2026-03-26 01:18:22,2026-03-26 01:18:22,INFLOW
REDCROSS,inventory_transaction,16,redcross-16-10-ec40c0848c9da6570bb51279091955cf,,B+,Platelets,,,,,,,,,4,5,2024-07-03 05:11:05,2024-07-03 05:11:05,OUTFLOW
REDCROSS,inventory_transaction,40,redcross-40-11-0f52dea68bdae0c9fed0732780d58925,,A+,Plasma,,,,,,,,,8,8,2024-05-26 07:29:40,2024-05-26 07:29:40,OUTFLOW
REDCROSS,inventory_transaction,17,redcross-17-12-5488400de3049a16c86d6b9a1b02ebd8,,A+,Plasma,,,,,,,,,6,22,2025-11-24 17:10:04,2025-11-24 17:10:04,OUTFLOW
REDCROSS,inventory_transaction,38,redcross-38-13-a60735de5d09d83b6e96c42640666ab0,,O+,Plasma,,,,,,,,,16,38,2025-04-12 09:12:24,2025-04-12 09:12:24,OUTFLOW
REDCROSS,inventory_transaction,7,redcross-7-14-7b09ecbfaa1ac7519fdc495d7bce9005,,O+,Platelets,,,,,,,,,3,15,2024-10-29 22:18:01,2024-10-29 22:18:01,INFLOW
REDCROSS,inventory_transaction,37,redcross-37-15-c9fd0eb0641c05c75674e7005a1a6c99,,AB+,Cryoprecipitate,,,,,,,,,1,1,2025-09-12 23:31:53,2025-09-12 23:31:53,OUTFLOW
REDCROSS,inventory_transaction,39,redcross-39-16-fc97e7f6bf8dbebf68f3b4a05fd301a4,,A+,Packed RBC,,,,,,,,,1,7,2025-09-27 08:43:48,2025-09-27 08:43:48,OUTFLOW
REDCROSS,inventory_transaction,41,redcross-41-17-030f9dd561319de03966196311760621,,A+,Fresh Frozen Plasma,,,,,,,,,1,7,2024-02-04 18:23:46,2024-02-04 18:23:46,OUTFLOW
REDCROSS,inventory_transaction,19,redcross-19-18-526004765720f7cc885943c7d10a2cd2,,O+,Plasma,,,,,,,,,17,50,2024-05-15 17:56:23,2024-05-15 17:56:23,INFLOW
REDCROSS,inventory_transaction,11,redcross-11-19-ad1ae40dd588756eb0c6ff94579eca0e,,O+,Plasma,,,,,,,,,4,47,2024-10-29 23:55:21,2024-10-29 23:55:21,OUTFLOW
REDCROSS,inventory_transaction,30,redcross-30-20-a0edd6b4c6da4645cc099c4ad868baec,,B-,Packed RBC,,,,,,,,,1,2,2024-08-19 21:46:43,2024-08-19 21:46:43,OUTFLOW
REDCROSS,inventory_transaction,6,redcross-6-21-1043bfbc3d378b97b7d4e745ae26895d,,A+,Whole Blood,,,,,,,,,7,23,2024-05-06 14:23:43,2024-05-06 14:23:43,INFLOW
REDCROSS,inventory_transaction,7,redcross-7-22-019ca19b184b87130e3dee85be1a3256,,A+,Plasma,,,,,,,,,2,16,2025-07-28 10:58:39,2025-07-28 10:58:39,INFLOW
REDCROSS,inventory_transaction,45,redcross-45-23-2f476019746fc202308cd1b95a44714d,,O+,Plasma,,,,,,,,,1,8,2024-02-16 01:19:31,2024-02-16 01:19:31,INFLOW
REDCROSS,inventory_transaction,35,redcross-35-24-f8f790f3e0f29c729a0db7d7c0b41a3a,,O+,Plasma,,,,,,,,,5,42,2026-01-30 22:34:26,2026-01-30 22:34:26,INFLOW
REDCROSS,inventory_transaction,42,redcross-42-25-f8e9300f02e3ce731363d78387559cc5,,O+,Plasma,,,,,,,,,4,9,2024-10-13 01:44:23,2024-10-13 01:44:23,OUTFLOW
REDCROSS,inventory_transaction,29,redcross-29-26-d87b0c159aad880d260508c6ca7286b6,,B-,Fresh Frozen Plasma,,,,,,,,,1,3,2025-12-03 11:34:57,2025-12-03 11:34:57,INFLOW
REDCROSS,inventory_transaction,18,redcross-18-27-594d6c2c6527712709f9791919aeb94a,,O+,Whole Blood,,,,,,,,,6,7,2026-04-23 14:05:42,2026-04-23 14:05:42,OUTFLOW
REDCROSS,inventory_transaction,41,redcross-41-28-8380468d79dde13d0d544a903c44bcbd,,B+,Whole Blood,,,,,,,,,7,43,2024-12-07 07:08:50,2024-12-07 07:08:50,INFLOW
REDCROSS,inventory_transaction,49,redcross-49-29-d82d2b3e771e2e553a8a9c3ea0fb5407,,B+,Platelets,,,,,,,,,5,17,2024-08-26 10:49:09,2024-08-26 10:49:09,INFLOW
REDCROSS,inventory_transaction,18,redcross-18-30-f3c4797d6d2f929d256c142be742c655,,AB+,Packed RBC,,,,,,,,,1,0,2025-07-07 08:51:11,2025-07-07 08:51:11,OUTFLOW
REDCROSS,inventory_transaction,9,redcross-9-31-a78526508fa8b3303151d193acd40f8a,,O+,Packed RBC,,,,,,,,,4,4,2024-01-17 05:16:03,2024-01-17 05:16:03,OUTFLOW
REDCROSS,inventory_transaction,34,redcross-34-32-f528629fe4268a250aeb74ee3c94e2e5,,O+,Whole Blood,,,,,,,,,4,10,2026-03-07 11:32:37,2026-03-07 11:32:37,INFLOW
REDCROSS,inventory_transaction,15,redcross-15-33-d0d9944c537f25d54ece5f4f08a3203f,,B-,Whole Blood,,,,,,,,,1,1,2025-11-05 16:19:29,2025-11-05 16:19:29,INFLOW
REDCROSS,inventory_transaction,26,redcross-26-34-2fbc52b9b09e5b7b33c0a03cba90c26d,,B+,Whole Blood,,,,,,,,,10,30,2025-03-30 02:57:05,2025-03-30 02:57:05,INFLOW
REDCROSS,inventory_transaction,5,redcross-5-35-d70415690140edd216e4d9f48c7135a2,,O+,Platelets,,,,,,,,,5,11,2025-07-15 22:20:24,2025-07-15 22:20:24,OUTFLOW
REDCROSS,inventory_transaction,30,redcross-30-36-0b3e71af176f96c2f9c2116192efe725,,B+,Plasma,,,,,,,,,7,42,2025-12-19 03:54:41,2025-12-19 03:54:41,INFLOW
REDCROSS,inventory_transaction,29,redcross-29-37-9e356866dc41f5d6478061391a564a5e,,AB+,Plasma,,,,,,,,,2,3,2025-04-09 12:26:46,2025-04-09 12:26:46,INFLOW
REDCROSS,inventory_transaction,21,redcross-21-38-2c617b7e9e47e66f9245487aa2bbbc09,,A+,Fresh Frozen Plasma,,,,,,,,,1,4,2025-12-04 15:04:05,2025-12-04 15:04:05,OUTFLOW
REDCROSS,inventory_transaction,28,redcross-28-39-5c920aa19cf741027de6ce14d0b969a1,,O+,Cryoprecipitate,,,,,,,,,9,26,2024-05-13 17:03:37,2024-05-13 17:03:37,INFLOW
REDCROSS,inventory_transaction,43,redcross-43-40-5dd174e8e25af8c7af831c0dba0b9edb,,O+,Fresh Frozen Plasma,,,,,,,,,2,44,2026-02-07 13:55:58,2026-02-07 13:55:58,OUTFLOW
REDCROSS,inventory_transaction,19,redcross-19-41-0ca51a320b8a4d3730827fc0b58f56c1,,B+,Fresh Frozen Plasma,,,,,,,,,8,38,2025-06-03 06:09:42,2025-06-03 06:09:42,INFLOW
